Player,Player_ID,Height,Weight,Birth_Date,Club,Player_URL,Photo
Maren Mjelde,3bf287fc,165cm,63kg,"November 6, 1989",Everton,https://fbref.com/en/players/3bf287fc/,https://fbref.com/req/202302030/images/headshots/3bf287fc_2022.jpg
Yuka Momiki,32e6e010,153cm,48kg,"April 9, 1996",Leicester City,https://fbref.com/en/players/32e6e010/,https://fbref.com/req/202302030/images/headshots/32e6e010_2022.jpg
Ella Morris,6abb0f89,,,"September 23, 2002",Tottenham Hotspur,https://fbref.com/en/players/6abb0f89/,media/logos/silueta.jpg
Noémie Mouchon,6de12c5f,,,"June 6, 2003",Leicester City,https://fbref.com/en/players/6de12c5f/,https://fbref.com/req/202302030/images/headshots/6de12c5f_2022.jpg
Maelys Mpomé,5ce5fb06,180cm,68kg,"February 23, 2003",Chelsea,https://fbref.com/en/players/5ce5fb06/,media/logos/silueta.jpg
Lily Murphy,2e5b6db3,,,"February 13, 2006",Manchester City,https://fbref.com/en/players/2e5b6db3/,media/logos/silueta.jpg
Lisa Naalsund,78468aa6,,,"June 11, 1995",Manchester United,https://fbref.com/en/players/78468aa6/,https://fbref.com/req/202302030/images/headshots/78468aa6_2022.jpg
Fūka Nagano,8c7bc9dc,159cm,,"March 9, 1999",Liverpool,https://fbref.com/en/players/8c7bc9dc/,https://fbref.com/req/202302030/images/headshots/8c7bc9dc_2022.jpg
Jessica Naz,a6cc3fcc,,,"September 24, 2000",Tottenham Hotspur,https://fbref.com/en/players/a6cc3fcc/,https://fbref.com/req/202302030/images/headshots/a6cc3fcc_2022.jpg
Ashleigh Neville,047b0b71,,,"April 29, 1993",Tottenham Hotspur,https://fbref.com/en/players/047b0b71/,media/logos/silueta.jpg
Courtney Nevin,0fbbe2fe,165cm,,"February 12, 2002",Leicester City,https://fbref.com/en/players/0fbbe2fe/,https://fbref.com/req/202302030/images/headshots/0fbbe2fe_2022.jpg
Jenna Nighswonger,3d0e9d13,,,"November 28, 2000",Arsenal,https://fbref.com/en/players/3d0e9d13/,media/logos/silueta.jpg
Amanda Nildén,ede1eaea,168cm,58kg,"August 7, 1998",Tottenham Hotspur,https://fbref.com/en/players/ede1eaea/,https://fbref.com/req/202302030/images/headshots/ede1eaea_2022.jpg
Jordan Nobbs,2225335c,159cm,52kg,"December 8, 1992",Aston Villa,https://fbref.com/en/players/2225335c/,https://fbref.com/req/202302030/images/headshots/2225335c_2022.jpg
Hayley Nolan,f3ebe45c,,,"March 7, 1997",Crystal Palace,https://fbref.com/en/players/f3ebe45c/,media/logos/silueta.jpg
Nadine Noordam,dcb8c4a5,,,"July 29, 1998",Brighton & Hove Albion,https://fbref.com/en/players/dcb8c4a5/,media/logos/silueta.jpg
Aniek Nouwen,5202e464,174cm,64kg,"March 9, 1999",Crystal Palace,https://fbref.com/en/players/5202e464/,https://fbref.com/req/202302030/images/headshots/5202e464_2022.jpg
Sjoeke Nüsken,0050cd30,173cm,,"January 22, 2001",Chelsea,https://fbref.com/en/players/0050cd30/,https://fbref.com/req/202302030/images/headshots/0050cd30_2022.jpg
Eva Nyström,d72414d7,,,"November 29, 1999",West Ham United,https://fbref.com/en/players/d72414d7/,https://fbref.com/req/202302030/images/headshots/d72414d7_2022.jpg
Karoline Olesen,c4c8c358,,,"February 3, 2005",Everton,https://fbref.com/en/players/c4c8c358/,media/logos/silueta.jpg
Ria Öling,ea6b3c64,,,"September 15, 1994",Crystal Palace,https://fbref.com/en/players/ea6b3c64/,https://fbref.com/req/202302030/images/headshots/ea6b3c64_2022.jpg
Marisa Olislagers,664ba94a,,,"September 9, 2000",Brighton & Hove Albion,https://fbref.com/en/players/664ba94a/,https://fbref.com/req/202302030/images/headshots/664ba94a_2022.jpg
Maite Oroz,f4cdd292,158cm,48kg,"March 25, 1998",Tottenham Hotspur,https://fbref.com/en/players/f4cdd292/,https://fbref.com/req/202302030/images/headshots/f4cdd292_2022.jpg
Leila Ouahabi,9663804e,171cm,58kg,"March 22, 1993",Manchester City,https://fbref.com/en/players/9663804e/,https://fbref.com/req/202302030/images/headshots/9663804e_2022.jpg
Aemu Ōyama,50dfd36d,159cm,52kg,"September 19, 2004",Manchester City,https://fbref.com/en/players/50dfd36d/,https://fbref.com/req/202302030/images/headshots/50dfd36d_2022.jpg
Eve O`Carroll,9efa0ac3,,,"January 17, 2007",Manchester City,https://fbref.com/en/players/9efa0ac3/,media/logos/silueta.jpg
Shannon O’Brien,c3b6d1b2,,,"October 5, 2001",Leicester City,https://fbref.com/en/players/c3b6d1b2/,media/logos/silueta.jpg
Mayumi Pacheco,3dec204f,164cm,54kg,"August 25, 1998",Aston Villa,https://fbref.com/en/players/3dec204f/,media/logos/silueta.jpg
Jessica Park,4a27340c,,,"October 21, 2001",Manchester City,https://fbref.com/en/players/4a27340c/,https://fbref.com/req/202302030/images/headshots/4a27340c_2022.jpg
Lucy Parker,3cbda998,,,"November 18, 1998",Aston Villa,https://fbref.com/en/players/3cbda998/,media/logos/silueta.jpg
Nikita Parris,fa5faf19,162cm,58kg,"March 10, 1994",Brighton & Hove Albion,https://fbref.com/en/players/fa5faf19/,https://fbref.com/req/202302030/images/headshots/fa5faf19_2022.jpg
Lucy Parry,1778215c,,,"May 7, 2004",Liverpool,https://fbref.com/en/players/1778215c/,https://fbref.com/req/202302030/images/headshots/1778215c_2022.jpg
Anna Patten,5d6376ee,175cm,57kg,"April 20, 1999",Aston Villa,https://fbref.com/en/players/5d6376ee/,media/logos/silueta.jpg
Poppy Pattinson,eced0e75,,,"April 30, 2000",Brighton & Hove Albion,https://fbref.com/en/players/eced0e75/,https://fbref.com/req/202302030/images/headshots/eced0e75_2022.jpg
Manuela Paví,54528208,,,"December 23, 2000",West Ham United,https://fbref.com/en/players/54528208/,https://fbref.com/req/202302030/images/headshots/54528208_2022.jpg
Heather Payne,86f7f003,170cm,,"January 26, 2000",Everton,https://fbref.com/en/players/86f7f003/,https://fbref.com/req/202302030/images/headshots/86f7f003_2022.jpg
Toni Payne,d6a30323,160cm,,"April 22, 1995",Everton,https://fbref.com/en/players/d6a30323/,https://fbref.com/req/202302030/images/headshots/d6a30323_2022.jpg
Emilia Pelgander,7046a1fb,,,"March 3, 2004",Rosengård,https://fbref.com/en/players/7046a1fb/,https://fbref.com/req/202302030/images/headshots/7046a1fb_2022.jpg
Victoria Pelova,dd37aa7f,163cm,,"June 3, 1999",Arsenal,https://fbref.com/en/players/dd37aa7f/,https://fbref.com/req/202302030/images/headshots/dd37aa7f_2022.jpg
Ève Périsset,70bcb789,160cm,54kg,"December 24, 1994",Strasbourg,https://fbref.com/en/players/70bcb789/,https://fbref.com/req/202302030/images/headshots/70bcb789_2022.jpg
Seraina Piubel,4d5c6e93,168cm,,"June 2, 2000",West Ham United,https://fbref.com/en/players/4d5c6e93/,https://fbref.com/req/202302030/images/headshots/4d5c6e93_2022.jpg
Alexia Potter,facc0561,,,"August 17, 2006",Crystal Palace,https://fbref.com/en/players/facc0561/,media/logos/silueta.jpg
Gracie Prior,287839a1,,,"December 2, 2004",Manchester City,https://fbref.com/en/players/287839a1/,media/logos/silueta.jpg
Poppy Pritchard,18de3c67,,,"December 3, 2005",Crystal Palace,https://fbref.com/en/players/18de3c67/,media/logos/silueta.jpg
Mayra Ramírez,61478cfd,178cm,,"March 23, 1999",Chelsea,https://fbref.com/en/players/61478cfd/,https://fbref.com/req/202302030/images/headshots/61478cfd_2022.jpg
Jutta Rantala,cfea3233,,,"November 10, 1999",Leicester City,https://fbref.com/en/players/cfea3233/,https://fbref.com/req/202302030/images/headshots/cfea3233_2022.jpg
Hayley Raso,4a4fc01f,162cm,58kg,"September 5, 1994",Tottenham Hotspur,https://fbref.com/en/players/4a4fc01f/,https://fbref.com/req/202302030/images/headshots/4a4fc01f_2022.jpg
Rebecca Rayner,3bab65bb,,,"November 7, 1999",Brighton & Hove Albion,https://fbref.com/en/players/3bab65bb/,media/logos/silueta.jpg
Katie Reid,4286881d,,,"September 25, 2006",Arsenal,https://fbref.com/en/players/4286881d/,media/logos/silueta.jpg
Guro Reiten,3d728957,166cm,59kg,"July 26, 1994",Chelsea,https://fbref.com/en/players/3d728957/,https://fbref.com/req/202302030/images/headshots/3d728957_2022.jpg
Louna Ribadeira,fd4595fd,,,,,https://fbref.com/en/players/fd4595fd/,media/logos/silueta.jpg
Indiah-Paige Riley,c0189ca0,171cm,58kg,"December 20, 2001",Crystal Palace,https://fbref.com/en/players/c0189ca0/,https://fbref.com/req/202302030/images/headshots/c0189ca0_2022.jpg
Jayde Riviere,0a67bf24,162cm,,"January 22, 2001",Manchester United,https://fbref.com/en/players/0a67bf24/,https://fbref.com/req/202302030/images/headshots/0a67bf24_2022.jpg
Katie Robinson,9809a8d0,161cm,,"August 8, 2002",Aston Villa,https://fbref.com/en/players/9809a8d0/,https://fbref.com/req/202302030/images/headshots/9809a8d0_2022.jpg
Sophie Román Haug,b8ba46ef,176cm,,"June 4, 1999",Liverpool,https://fbref.com/en/players/b8ba46ef/,https://fbref.com/req/202302030/images/headshots/b8ba46ef_2022.jpg
Jill Roord,443146ab,170cm,63kg,"April 22, 1997",Manchester City,https://fbref.com/en/players/443146ab/,https://fbref.com/req/202302030/images/headshots/443146ab_2022.jpg
Rusul Rosa Kafaji,fed58d3e,,,"July 5, 2003",Arsenal,https://fbref.com/en/players/fed58d3e/,https://fbref.com/req/202302030/images/headshots/fed58d3e_2022.jpg
Deanne Rose,76bd72f1,163cm,62kg,"March 3, 1999",Leicester City,https://fbref.com/en/players/76bd72f1/,https://fbref.com/req/202302030/images/headshots/76bd72f1_2022.jpg
Alessia Russo,043d38be,172cm,,"February 8, 1999",Arsenal,https://fbref.com/en/players/043d38be/,https://fbref.com/req/202302030/images/headshots/043d38be_2022.jpg
Josefine Rybrink,d839ba48,,,"January 19, 1998",Tottenham Hotspur,https://fbref.com/en/players/d839ba48/,https://fbref.com/req/202302030/images/headshots/d839ba48_2022.jpg
Johanna Rytting Kaneryd,a9d473d9,162cm,,"February 12, 1997",Chelsea,https://fbref.com/en/players/a9d473d9/,https://fbref.com/req/202302030/images/headshots/a9d473d9_2022.jpg
Camila Sáez,e20acc1f,167cm,,"October 17, 1994",West Ham United,https://fbref.com/en/players/e20acc1f/,https://fbref.com/req/202302030/images/headshots/e20acc1f_2022.jpg
Lydia Sallaway,b8193931,,,"July 6, 2007",Aston Villa,https://fbref.com/en/players/b8193931/,media/logos/silueta.jpg
Ebony Salmon,63667d66,,,"January 27, 2001",Aston Villa,https://fbref.com/en/players/63667d66/,media/logos/silueta.jpg
Anna Sandberg,6427fe40,166cm,,"May 23, 2003",Manchester United,https://fbref.com/en/players/6427fe40/,https://fbref.com/req/202302030/images/headshots/6427fe40_2022.jpg
Veatriki Sarri,8da281d5,,,,,https://fbref.com/en/players/8da281d5/,media/logos/silueta.jpg
Kiko Seike,88d7dad9,166cm,59kg,"August 8, 1996",Brighton & Hove Albion,https://fbref.com/en/players/88d7dad9/,https://fbref.com/req/202302030/images/headshots/88d7dad9_2022.jpg
Molly Sharpe,09de4bea,168cm,,"March 12, 1998",Crystal Palace,https://fbref.com/en/players/09de4bea/,media/logos/silueta.jpg
Khadija Shaw,915083f0,180cm,69kg,"January 31, 1997",Manchester City,https://fbref.com/en/players/915083f0/,https://fbref.com/req/202302030/images/headshots/915083f0_2022.jpg
Zara Shaw,a171f1ce,172cm,,"June 6, 2007",Liverpool,https://fbref.com/en/players/a171f1ce/,https://fbref.com/req/202302030/images/headshots/a171f1ce_2022.jpg
Simone Sherwood,44b6e09b,183cm,,"January 4, 2007",Leicester City,https://fbref.com/en/players/44b6e09b/,https://fbref.com/req/202302030/images/headshots/44b6e09b_2022.jpg
Hannah Silcock,c476e4b3,,,"September 18, 2004",Liverpool,https://fbref.com/en/players/c476e4b3/,media/logos/silueta.jpg
Oona Siren,266388ac,,,"February 23, 2001",West Ham United,https://fbref.com/en/players/266388ac/,media/logos/silueta.jpg
Kirsty Smith,74734dd2,160cm,54kg,"January 6, 1994",West Ham United,https://fbref.com/en/players/74734dd2/,https://fbref.com/req/202302030/images/headshots/74734dd2_2022.jpg
Olivia Smith,7cfea8d9,160cm,,"August 5, 2004",Liverpool,https://fbref.com/en/players/7cfea8d9/,https://fbref.com/req/202302030/images/headshots/7cfea8d9_2022.jpg
Katja Snoeijs,0338228e,170cm,,"August 31, 1996",Everton,https://fbref.com/en/players/0338228e/,https://fbref.com/req/202302030/images/headshots/0338228e_2022.jpg
Drew Spence,8983fe4a,164cm,74kg,"October 23, 1992",Tottenham Hotspur,https://fbref.com/en/players/8983fe4a/,https://fbref.com/req/202302030/images/headshots/8983fe4a_2022.jpg
Rebecca Spencer,c207731f,167cm,57kg,"February 22, 1991",Chelsea,https://fbref.com/en/players/c207731f/,https://fbref.com/req/202302030/images/headshots/c207731f_2022.jpg
Lucy Staniforth,2ee41ad7,157cm,53kg,"October 2, 1992",Aston Villa,https://fbref.com/en/players/2ee41ad7/,https://fbref.com/req/202302030/images/headshots/2ee41ad7_2022.jpg
Dejana Stefanović,ccfdf3bf,171cm,66kg,"July 5, 1997",Brighton & Hove Albion,https://fbref.com/en/players/ccfdf3bf/,https://fbref.com/req/202302030/images/headshots/ccfdf3bf_2022.jpg
Elise Stenevik,90e69d93,,,"September 9, 1999",Everton,https://fbref.com/en/players/90e69d93/,https://fbref.com/req/202302030/images/headshots/90e69d93_2022.jpg
Katie Stengel,78078a19,175cm,,"February 29, 1992",Crystal Palace,https://fbref.com/en/players/78078a19/,https://fbref.com/req/202302030/images/headshots/78078a19_2022.jpg
Eveliina Summanen,562e21cc,,,"May 29, 1998",Tottenham Hotspur,https://fbref.com/en/players/562e21cc/,https://fbref.com/req/202302030/images/headshots/562e21cc_2022.jpg
Allyson Swaby,71788b21,172cm,,"October 3, 1996",Crystal Palace,https://fbref.com/en/players/71788b21/,https://fbref.com/req/202302030/images/headshots/71788b21_2022.jpg
Chantelle Swaby,1ec631a1,178cm,,"August 6, 1998",Leicester City,https://fbref.com/en/players/1ec631a1/,https://fbref.com/req/202302030/images/headshots/1ec631a1_2022.jpg
Maisie Symonds,118413ec,,,"February 2, 2003",Brighton & Hove Albion,https://fbref.com/en/players/118413ec/,https://fbref.com/req/202302030/images/headshots/118413ec_2022.jpg
Kinga Szemik,d14f2600,182cm,69kg,"June 25, 1997",West Ham United,https://fbref.com/en/players/d14f2600/,media/logos/silueta.jpg
Saori Takarada,602ba0c3,168cm,58kg,"December 27, 1999",Leicester City,https://fbref.com/en/players/602ba0c3/,media/logos/silueta.jpg
Katelin Talbert,d6895869,181cm,,"October 9, 1998",Aston Villa,https://fbref.com/en/players/d6895869/,media/logos/silueta.jpg
Miri Taylor,2ceac0c2,,,,,https://fbref.com/en/players/2ceac0c2/,media/logos/silueta.jpg
Elisabeth Terland,77f78f83,,,"June 28, 2001",Manchester United,https://fbref.com/en/players/77f78f83/,https://fbref.com/req/202302030/images/headshots/77f78f83_2022.jpg
Julie Thibaud,d5fdf445,165cm,59kg,"April 20, 1998",Leicester City,https://fbref.com/en/players/d5fdf445/,media/logos/silueta.jpg
Codie Thomas,14435f59,,,"August 30, 2006",Manchester City,https://fbref.com/en/players/14435f59/,media/logos/silueta.jpg
Lauren Thomas,8ba7b9a0,,,,Everton,https://fbref.com/en/players/8ba7b9a0/,media/logos/silueta.jpg
Martha Thomas,39e9f635,170cm,,"May 31, 1996",Tottenham Hotspur,https://fbref.com/en/players/39e9f635/,media/logos/silueta.jpg
Maria Thorisdottir,8ee86892,170cm,68kg,"June 5, 1993",Brighton & Hove Albion,https://fbref.com/en/players/8ee86892/,https://fbref.com/req/202302030/images/headshots/8ee86892_2022.jpg
Samantha Tierney,92dc4a94,,,"October 8, 1998",Leicester City,https://fbref.com/en/players/92dc4a94/,media/logos/silueta.jpg
Paula Tomás,f86c9887,,,"September 11, 2001",Aston Villa,https://fbref.com/en/players/f86c9887/,media/logos/silueta.jpg
Ella Toone,ea1a4530,163cm,57kg,"September 2, 1999",Manchester United,https://fbref.com/en/players/ea1a4530/,https://fbref.com/req/202302030/images/headshots/ea1a4530_2022.jpg
Karla Torres,fe5f9ec2,171cm,,"October 11, 2006",Leicester City,https://fbref.com/en/players/fe5f9ec2/,https://fbref.com/req/202302030/images/headshots/fe5f9ec2_2022.jpg
Phallon Tullis-Joyce,3cbb2e2c,185cm,71kg,"October 19, 1996",Manchester United,https://fbref.com/en/players/3cbb2e2c/,media/logos/silueta.jpg
Amy Turner,a21edf38,165cm,62kg,"July 4, 1991",Tottenham Hotspur,https://fbref.com/en/players/a21edf38/,media/logos/silueta.jpg
Danielle Turner,cdcfea31,,,"September 10, 1991",Aston Villa,https://fbref.com/en/players/cdcfea31/,media/logos/silueta.jpg
Millie Turner,53926a7a,,,"July 7, 1996",Manchester United,https://fbref.com/en/players/53926a7a/,https://fbref.com/req/202302030/images/headshots/53926a7a_2022.jpg
Amber Tysiak,f45631e7,,,"January 26, 2000",West Ham United,https://fbref.com/en/players/f45631e7/,media/logos/silueta.jpg
Riko Ueki,9fdbff28,162cm,49kg,"July 30, 1999",West Ham United,https://fbref.com/en/players/9fdbff28/,https://fbref.com/req/202302030/images/headshots/9fdbff28_2022.jpg
Ashleigh Van Weerden,1da7ef84,152cm,,"June 7, 1999",Crystal Palace,https://fbref.com/en/players/1da7ef84/,https://fbref.com/req/202302030/images/headshots/1da7ef84_2022.jpg
Justine Vanhaevermaet,301d1778,185cm,72kg,"April 29, 1992",Everton,https://fbref.com/en/players/301d1778/,https://fbref.com/req/202302030/images/headshots/301d1778_2022.jpg
Katrine Veje,613c3da2,174cm,60kg,"June 19, 1991",Crystal Palace,https://fbref.com/en/players/613c3da2/,https://fbref.com/req/202302030/images/headshots/613c3da2_2022.jpg
Bruna Vilamala,ae510b79,,,"June 4, 2002",Brighton & Hove Albion,https://fbref.com/en/players/ae510b79/,media/logos/silueta.jpg
Matilda Vinberg,01cd8211,,,,,https://fbref.com/en/players/01cd8211/,media/logos/silueta.jpg
Keira Walsh,ca934b6b,172cm,67kg,"April 8, 1997",Chelsea,https://fbref.com/en/players/ca934b6b/,https://fbref.com/req/202302030/images/headshots/ca934b6b_2022.jpg
Lia Wälti,5410bdaa,167cm,55kg,"April 19, 1993",Arsenal,https://fbref.com/en/players/5410bdaa/,https://fbref.com/req/202302030/images/headshots/5410bdaa_2022.jpg
Emma Watson,1543cbd9,,,"January 28, 2006",Everton,https://fbref.com/en/players/1543cbd9/,media/logos/silueta.jpg
Clare Wheeler,e0190cc0,162cm,57kg,"January 14, 1998",Everton,https://fbref.com/en/players/e0190cc0/,https://fbref.com/req/202302030/images/headshots/e0190cc0_2022.jpg
Laura Wienroither,f8146853,165cm,,"January 13, 1999",Manchester City,https://fbref.com/en/players/f8146853/,https://fbref.com/req/202302030/images/headshots/f8146853_2022.jpg
Rachel Williams,2fa8aa92,169cm,68kg,"January 10, 1988",Manchester United,https://fbref.com/en/players/2fa8aa92/,media/logos/silueta.jpg
Leah Williamson,9a40ae1f,170cm,64kg,"March 29, 1997",Arsenal,https://fbref.com/en/players/9a40ae1f/,https://fbref.com/req/202302030/images/headshots/9a40ae1f_2022.jpg
Lily Woodham,828d664e,,,"September 3, 2000",Crystal Palace,https://fbref.com/en/players/828d664e/,media/logos/silueta.jpg
Lotte Wubben-Moy,f254ebd6,176cm,,"January 11, 1999",Arsenal,https://fbref.com/en/players/f254ebd6/,https://fbref.com/req/202302030/images/headshots/f254ebd6_2022.jpg
Ayaka Yamashita,004008b9,170cm,63kg,"September 29, 1995",Manchester City,https://fbref.com/en/players/004008b9/,https://fbref.com/req/202302030/images/headshots/004008b9_2022.jpg
Shae Yanez,26f967a8,173cm,,"May 22, 1997",Crystal Palace,https://fbref.com/en/players/26f967a8/,media/logos/silueta.jpg
Shelina Zadorsky,23aceac3,172cm,67kg,"October 24, 1992",West Ham United,https://fbref.com/en/players/23aceac3/,https://fbref.com/req/202302030/images/headshots/23aceac3_2022.jpg
Manuela Zinsberger,c7dc2a33,177cm,73kg,"October 19, 1995",Arsenal,https://fbref.com/en/players/c7dc2a33/,https://fbref.com/req/202302030/images/headshots/c7dc2a33_2022.jpg
Charlize Rule,5d8ff953,176cm,58kg,"February 16, 2003",Brighton & Hove Albion,https://fbref.com/en/players/5d8ff953/,media/logos/silueta.jpg
